фраза,перевод_RU,перевод_EN,перевод_PL,объяснение,аудио_ссылка
"Етнічне на ніч","Этническое на ночь","Ethnic at night","Etniczne na noc","Народное приветствие перед сном, с акцентом на аутентичную культуру","https://example.com/audio1.mp3"
"Віхолою колись та й обернеться","Вихрем когда-нибудь да и обернётся","It will turn into a blizzard someday","Wichurą kiedyś się obróci","Народная пословица о карме: зло вернётся бурей","https://example.com/audio2.mp3"
"Птахи у небі над болотами","Птицы в небе над болотами","Birds in the sky over the swamps","Ptaki na niebie nad bagnami","Поэтическое описание природы, символ свободы","https://example.com/audio3.mp3"
"Біснуватий","Бешеный, одержимый","Mad, possessed","Szalony","Разговорное: очень энергичный или сумасшедший","https://example.com/audio4.mp3"
"Гілляка","Веточка","Twig","Gałązka","Украинский диалект: маленькая ветка, метафора приглашения","https://example.com/audio5.mp3"
"Промивають мозок","Моют мозги","Brainwash","Pranie mózgu","Идиома: манипулировать сознанием","https://example.com/audio6.mp3"
"Уїбани","Идиоты (грубое)","Assholes (vulgar)","Głupcy (wulgarne)","Сленг: оскорбление глупости","https://example.com/audio7.mp3"
"Поза політики","Вне политики","Outside politics","Poza polityką","Нейтральная позиция в спорах","https://example.com/audio8.mp3"
"Огидливо","Отвратительно","Disgusting","Obrzydliwe","Эмоциональное: мерзко, неприятно","https://example.com/audio9.mp3"
"Мерзенно","Гнусно","Vile","Obrzydliwie","Диалект: крайне отвратительно","https://example.com/audio10.mp3"
"Західняцька мова","Западноукраинский язык","Western Ukrainian language","Język zachodnio-ukraiński","Диалект Галичины и Закарпатья","https://example.com/audio11.mp3"
"Карпатський словник","Карпатский словарь","Carpathian dictionary","Słownik karpacki","Сборник фольклора Карпат","https://example.com/audio12.mp3"
"Галицька ідіома","Галицкая идиома","Galician idiom","Idioma galicyjska","Местные выражения Галичины","https://example.com/audio13.mp3"
"Боєвий стиль","Боевой стиль","Combat style","Styl bojowy","Разговорное: жёсткий, воинственный тон","https://example.com/audio14.mp3"
"Фольклорна мудрість","Фольклорная мудрость","Folk wisdom","Mądrość ludowa","Народные советы и пословицы","https://example.com/audio15.mp3"
"Аутентичний сленг","Аутентичный сленг","Authentic slang","Autentyczny slang","Настоящий диалектный жаргон","https://example.com/audio16.mp3"
"Народна пословиця","Народная пословица","Folk proverb","Przysłowie ludowe","Традиционная мудрость","https://example.com/audio17.mp3"
"Диалектний вираз","Диалектный выражение","Dialect expression","Wyrażenie dialektalne","Местный оборот речи","https://example.com/audio18.mp3"
"Культурний контекст","Культурный контекст","Cultural context","Kontekst kulturowy","Фон для понимания фразы","https://example.com/audio19.mp3"
"Лінгвістичний інструмент","Лингвистический инструмент","Linguistic tool","Narzędzie lingwistyczne","Образовательный переводчик","https://example.com/audio20.mp3"
